,id,accountId,puuid,name,profileIconId,revisionDate,summonerLevel
0,nLtBReRroZsp-O82JWuJKAdsORwS_hY9GNg8LkjtTcBwDw,2dzIXJUqmdWNfeAOMvRcJ5eHVFAmcUeqI693veYS8W1zrHs,c0w65Zipfh39IxpRGGpN1DpLGJoUo1CPQJw-LP3Z4wOoG5rbNpTzDv_1gxLXde2ghcAe7QjkN0KSzg,Senhor Vento,4781,1616681375000,175
1,2kh5IfkcRFFbPExgoooGMQ09cjTzNciuQ7P9qYL1J3WTOv0,KtBWsJA5MGzK5-znnDuSdk_QWd-qW_Bhzoma0VppM_edxXhQZ6i13xlD,Szqax9EEjLxlgG1J4_lkJjU1awQYD2kNN6BWx0Zop_9KYxi_hRQqVPXom8fmaxxngsM5BTnDk56KrQ,ff 15,3891,1616556754976,61
2,iEAVNf1mGiP0SUxsBfVm2Geos44ryKgj8h0AUxBKsEOG,jpkriUJIRC1Bpce8MAUJMyuBsrpNgvBCyrB-CIdOypY,LfnQaWkKDSW1bIUvZrAPt2ohjs1J9Vla9BC0CVQgktkUuhWvaI37qEPdK2S5mn0WQDgK-o3Gv9SLpg,Zenite,3595,1616780621000,381
3,3qRraQ3af7PY29E2sZcTsNaIeYf5_PjnkVmiGMORldv4ICs,ixa3ecrj3JLxLCzV6ltNJeG07y_do91NemE5MsD6mvghLbwMS0mGik-y,v24164sFEWdHcxDwJmMjgiP6ypVge8Y5SS3uHFJoRbqF-zmqLC_tM7zDmN8D-0OkgF9CGkE7TdDY7Q,1V9 NA JUNGLE,3898,1616706899000,393
4,IY7JmEvYdIzkSOVJFfQqvK9-AF_VoyRIlilesCZL92V6Zg,z72tXRi2ydLUL5PpDT8GQ2_WibYUDbr2_2t5mAQh227W,WFSWDimB9OF_9ZQ7B9ls62Yd_e0Z-oEkF5NRgbB5Gr56J3TerJstZX-79ASjaXIetbTRWtz9E7jTbQ,Brunaldo,4498,1616260416000,343
5,e8QCKASH704qLcYBcHqpM_jd49qvdh9g-g-7Io-wNwv8SuQ,huSZIFmszZ64CIIjv-oxkCTC4Qup5eCeiwgsvsYaWfzd97w,JJRV1g62vi57DbNwgGFiPlntQcWVyYL2m2Bk_n61OH6WA56hLX3EXLdDN-UbnlLM6pmeWvp2ZOVQzQ,ySkyTech,3182,1616374744000,375
6,04Wp1V40v4CGt4iC0mk8PLHmqA2YZmNAJGkByF5EwpQkOg,Zi77FzGA0KeGuq5VGXQQjQogH6zvY71SCYiMTpGa_D5R,smB845934_oqHZiKsfvII5uZTXRGSeFFP60rMOkGYLwCHbgq61MhN99SMwwAERWEgeBRv3nbYDuypw,wild Unicorn,2072,1615635951000,555
7,zuZt-al5mEsHB0D66nZGlF8qT1JUKSkCKLIQWDUZ0q1CYQ,4dyYnmddVIJ2RDhIZcS54Yp6RRPrko5k7GW7MlIxGRDApRA,7Tbb-CbEUpnBBgNblFXDV6psMa_DRSn4FLIlmYvNIL78AfPnZ6mGZpapjj-0oei5K4F0ILXInSK7fw,Midphobia,1301,1616653514000,191
8,zWfTEQuldVo2Ol3peYKT1e_U30dI5GL-Cubs5lHAfLVDOg,v0mCDMddvyWL926lHm8e8sSIdKTnuIUXl9LAGMCPVdGZRV4,meLHqiAv3bW4va2yS7rD3JHzpb65sRtBoHyrMKeU-MoltCsa2pRllKMBT844UTLYYQx4ihUQlcaoGA,berg,4568,1616628400000,493
9,BiuQCWKg2Wj-Mrveg5Y35IJLm1ffVqjHP8gWsmQAAeXLFA,tjCL4nUTe4DaxgUHqxUWu-CRauLfeZstGAHznrsbDCX4PvE,RvlP3mIAhZad1MVQo-VD3NrIGGk1yuhR_vhH_HbsuF3Ao0Afv6YGzaxNW0U-sUAfGaIvwz8rDfEt3g,Give Love U,3543,1615479251000,728
10,-A2SIDC7zT_Sxl0Mi6TA_RnXTCFeJCRdlCLZ1B2jfEWhw2c,qZCFvPjgo4dTVcXv-dHX4XSuVzuLFDXa8hIXjUe83iiamEmAG_VayrRM,_fmChSMbDbjkd_ZVBeRogrU_D3ZSad2QXq-3MqLltvFnh_gvsmkpf4k2PzWPsg108TCjL2L0OW46fw,Däeneryszz,4683,1616627099000,139
