,gameId,champion,timestamp,role,lane,accountId
99,2165199251,40,1611135706412,DUO_SUPPORT,BOTTOM,2dzIXJUqmdWNfeAOMvRcJ5eHVFAmcUeqI693veYS8W1zrHs
98,2165300614,40,1611138832262,DUO_SUPPORT,BOTTOM,2dzIXJUqmdWNfeAOMvRcJ5eHVFAmcUeqI693veYS8W1zrHs
97,2165782523,117,1611184446397,DUO_SUPPORT,NONE,2dzIXJUqmdWNfeAOMvRcJ5eHVFAmcUeqI693veYS8W1zrHs
96,2165726753,40,1611185960317,DUO_SUPPORT,NONE,2dzIXJUqmdWNfeAOMvRcJ5eHVFAmcUeqI693veYS8W1zrHs
95,2165789161,40,1611187745416,DUO_SUPPORT,NONE,2dzIXJUqmdWNfeAOMvRcJ5eHVFAmcUeqI693veYS8W1zrHs
94,2165844051,117,1611189912698,DUO_SUPPORT,BOTTOM,2dzIXJUqmdWNfeAOMvRcJ5eHVFAmcUeqI693veYS8W1zrHs
93,2165920920,40,1611193238832,DUO_SUPPORT,BOTTOM,2dzIXJUqmdWNfeAOMvRcJ5eHVFAmcUeqI693veYS8W1zrHs
92,2165886632,117,1611195601251,DUO_SUPPORT,BOTTOM,2dzIXJUqmdWNfeAOMvRcJ5eHVFAmcUeqI693veYS8W1zrHs
91,2166011748,40,1611198379073,DUO_SUPPORT,BOTTOM,2dzIXJUqmdWNfeAOMvRcJ5eHVFAmcUeqI693veYS8W1zrHs
90,2166015569,40,1611201202132,DUO_SUPPORT,TOP,2dzIXJUqmdWNfeAOMvRcJ5eHVFAmcUeqI693veYS8W1zrHs
99,2208494276,74,1615393136248,DUO_CARRY,MID,KtBWsJA5MGzK5-znnDuSdk_QWd-qW_Bhzoma0VppM_edxXhQZ6i13xlD
98,2208476714,54,1615395345554,SOLO,TOP,KtBWsJA5MGzK5-znnDuSdk_QWd-qW_Bhzoma0VppM_edxXhQZ6i13xlD
