summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,queue,date
nLtBReRroZsp-O82JWuJKAdsORwS_hY9GNg8LkjtTcBwDw,Senhor Vento,324,I,53,48,False,False,True,False,grandmaster,14/03/2021
2kh5IfkcRFFbPExgoooGMQ09cjTzNciuQ7P9qYL1J3WTOv0,ff 15,354,I,98,61,False,False,True,True,grandmaster,14/03/2021
iEAVNf1mGiP0SUxsBfVm2Geos44ryKgj8h0AUxBKsEOG,Zenite,391,I,86,67,False,False,True,True,grandmaster,14/03/2021
3qRraQ3af7PY29E2sZcTsNaIeYf5_PjnkVmiGMORldv4ICs,NÀSHE NÁSHE,382,I,248,240,False,False,True,False,grandmaster,14/03/2021
IY7JmEvYdIzkSOVJFfQqvK9-AF_VoyRIlilesCZL92V6Zg,Brunaldo,355,I,108,101,False,False,False,False,grandmaster,14/03/2021
e8QCKASH704qLcYBcHqpM_jd49qvdh9g-g-7Io-wNwv8SuQ,ySkyTech,570,I,114,97,False,False,False,False,grandmaster,14/03/2021
04Wp1V40v4CGt4iC0mk8PLHmqA2YZmNAJGkByF5EwpQkOg,wild Unicorn,497,I,63,45,False,False,False,False,grandmaster,14/03/2021
zuZt-al5mEsHB0D66nZGlF8qT1JUKSkCKLIQWDUZ0q1CYQ,Midphobia,393,I,49,36,False,False,True,True,grandmaster,14/03/2021
zWfTEQuldVo2Ol3peYKT1e_U30dI5GL-Cubs5lHAfLVDOg,berg,376,I,125,102,False,False,True,True,grandmaster,14/03/2021
BiuQCWKg2Wj-Mrveg5Y35IJLm1ffVqjHP8gWsmQAAeXLFA,Give Love U,331,I,163,147,False,False,True,False,grandmaster,14/03/2021
-A2SIDC7zT_Sxl0Mi6TA_RnXTCFeJCRdlCLZ1B2jfEWhw2c,Däeneryszz,527,I,96,81,False,False,False,False,grandmaster,14/03/2021
eIOZGv5-mg73osMzfC1nco_evEoVCnVyE7J2gv1gr03H,Goddess Banana,361,I,128,106,False,False,True,True,grandmaster,14/03/2021
VoOrrmvNgAgQrjMx6R-UMRgvVGzBQ9k2HD2fWBMh7sDFzw,Cabun,336,I,141,111,False,False,False,False,grandmaster,14/03/2021
D2xJWxeYs_hBW0C8-ADqbaGW-EVuipdwm8zAS5BPD2SRPA,Públio,377,I,188,173,False,False,True,True,grandmaster,14/03/2021
A19l6q05HO4OE38HOHE6YWFgUNtlgliKm__ceV7mR9xrDQY,GLX Drake,654,I,206,185,False,False,True,True,grandmaster,14/03/2021
PCY0A4yLvupZX2xr7b-yAgvVrG9cpoNWjD76-iOqv0KKiw,Mamba Mentality1,503,I,165,122,False,False,True,False,grandmaster,14/03/2021
xTZUjzoFD9cjEs9xueR3tVPuMr_Xv8ZWZhb0tVOB2hn29D8,bolo dê coco,448,I,137,113,False,False,True,False,grandmaster,14/03/2021
AdJsTMcvO_5KHaMepzF_0ePeqR5ZhByGaSwaI2qngyexbQ,Mito Supremo,405,I,54,44,False,False,True,False,grandmaster,14/03/2021
qpUUIjxa6pISDsMW5_roQMCKQEfEQCcsYk-d94IMBUq2cA,Yukyz,338,I,61,43,False,False,True,True,grandmaster,14/03/2021
XiVFv1NqMcy4WewQJZG-Tf35UeGx_ovyCz9rGGnmeSH6rA,DinoSaulo,256,I,229,218,False,False,True,False,grandmaster,14/03/2021
8gSyLzVdep7QDxUHhUy46WpNWQ_Y6S8cxkDXjpKAJ-9N0w,NACH0,334,I,159,153,False,False,False,True,grandmaster,14/03/2021
MvCzYh-pePx_C_MW5o1RiJm1EYZsL4X-l50PvqxL7PANuGA,MonoPykeManiaco,307,I,130,115,False,False,True,False,grandmaster,14/03/2021
C4FjMf73vCSIO6MLPLfCK3ee7ZmnwlsBwPVJqUwKKveGq9M,Li Qiye1,434,I,220,221,True,False,False,False,grandmaster,14/03/2021
BamS1J4NScpIW9ywDtxWO3ADKOgPhR8qygTGVIqqCbFZaA,John Paul Jorge,413,I,73,60,False,False,True,False,grandmaster,14/03/2021
ucLxYYOau9DNLU9DN6bnSmoLUcH6Q-p7VSydDiTPb9aC,xs9,548,I,43,27,False,False,False,False,grandmaster,14/03/2021
ElOk2dc-zfVeob1P-cJXz4R7MtzDk9tFADU8W3vDEtyKbw,7HEPK,419,I,59,57,False,False,False,False,grandmaster,14/03/2021
L6tRf-xT_MtLih5Y4EsbwrnnVDQ2rW6IlJpeq_6WrU2kUws,jiy,269,I,127,112,True,False,False,False,grandmaster,14/03/2021
14ltBfPCPYtHT0cRdcAB0FPTDklrS5OmVQRuxbwaitXCYw4,Biólogo Malvado,506,I,163,145,False,False,False,True,grandmaster,14/03/2021
Z1ucxOlm18fDLqvUxJHyHhGbfnwF0ny4nHjrwDjMcCmpX6k,wueur,369,I,326,313,False,False,False,False,grandmaster,14/03/2021
EqFnorTschnwpZfZCWjhESuHZ4fgNlDvkr2Ql11Yonsv_mU,Caiuboarom,337,I,44,34,False,False,True,False,grandmaster,14/03/2021
BrZcytCHcyemDlnMa73B3my7Wv6bC_cCo6M5jekGa2D7S19rsT2AE6LNOw,dpm fora da lei,456,I,170,109,False,False,True,False,grandmaster,14/03/2021
IwhZml5OfOAfI4mb9H3cAsZM_YtlbFoAUsyn1Sd61rSzFA,FNT Soweto,535,I,176,162,True,False,False,False,grandmaster,14/03/2021
ZDjY4_Gu3EIHVZEliN1yruej0HwHKmo2XZF4QXuvqA43ijc,galaxyzinn,405,I,257,232,False,False,True,False,grandmaster,14/03/2021
kR8JvBnHOO-p_IqLv5SiFCpJ0LGsLaj6MThbQ6ls9ha4gg,zed99999,567,I,94,83,False,False,False,False,grandmaster,14/03/2021
Lnj0F8tf23NHHyp-DGtjnmFZWuYIqMIKP336GJSmZjofNw,doomed acc,373,I,78,60,False,False,False,False,grandmaster,14/03/2021
tcKKy71v2PvYta6U35oZf4Nc9TOGtsEEYY9BlhWdFo0QFw,snook1e,321,I,100,90,False,False,True,False,grandmaster,14/03/2021
G1a3dQWyd_UgJHnyoTJL5aJmoEgV6GNXTidesr2-45PgG-4,Portuga,390,I,197,180,False,False,False,False,grandmaster,14/03/2021
NnJewStiNXSZDJ3luq6rtWYc4pv6zBC7pgWtVCNQEynVdQ,twitchtv sonyxw,340,I,76,53,False,False,True,False,grandmaster,14/03/2021
